# dotfiles-Offense/install/offensive-packages.txt
# ──────────────────────────────────────────────────────────────────────────────
# The offensive tool layer for Kali (apt). The Core modern-CLI stack lives in
# the normal install/packages.txt; THIS file is the role layer on top of it.
# bootstrap.sh installs these AFTER the OS + Core layers.
#
# Most are in Kali's repos (`sudo apt install <pkg>`). The handful that aren't
# packaged (or move faster than the repo) are flagged → install via their own
# upstream method, same pattern Core already uses for starship/atuin on some
# distros.
#
# ⚠ Authorized engagements only. Installing ≠ permission to use.
# ──────────────────────────────────────────────────────────────────────────────

# ── Network / Active Directory ────────────────────────────────────────────────
netexec              # nxc — successor to CrackMapExec (CME archived 2023)
#                     matching the target's .NET version (GodPotato-NET2/3.5/4).
#                     NOTE: upstream STATIC — not archived, but no push since 2023-11-24. With
#                     PrintSpoofer above now marked ARCHIVED, this was the last unmarked freeze
#                     in the block, which is the omission-not-a-judgement case this file keeps
#                     correcting. Keep it, and keep it as the live alternative PrintSpoofer's
#                     note points at: the RPCSS OXID-resolution abuse it weaponises survived the
#                     DCOM activation-hardening waves, so a 2023 binary still fires on a patched
#                     Server 2025 / Win11 target. Static because it is finished, not abandoned.
#                     tylerdotrar/SigmaPotato is the .NET-reflection fork — it executes IN MEMORY
#                     rather than being dropped as an EXE, which is the evasion-relevant
#                     difference — but it is itself untouched since 2024-05, so it is a MENTION,
#                     not a successor, and gets no pointer of its own: no doc names it.
#                     Both arrive from the corpus, inside hacktheplanet's `# companion:gen
#                     potato-seimpersonate` block — which is why they were doc-named AND
#                     corpus-named while this block still went without them.
# mimikatz is NOT listed here — it IS an apt package (see Credential attacks above);
# apt just puts Windows binaries in /usr/share/windows-resources/ for you to drop.
# AADInternals is NOT listed here either — it's operator-side external recon, not
# target-dropped, so it sits with the other M365 tools under Recon / OSINT above.
# The evasion doc's payload-BUILD tooling is NOT listed here either, and is not
# target-dropped: macro_pack (offensive/evasion:32), PowerUpSQL (:141), and the
# Donut / sRDI / ConfuserEx / ScareCrow loaders (:68) run operator-side to produce
# an artifact, and most of them need WINDOWS to do it — a lab Windows VM is the real
# prerequisite, so they are named here for the accounting and shipped nowhere.
# ⚠ "None is in Kali apt" is what this paragraph used to say, and it is NOT true —
# `donut` is packaged (1.1-0kali3+b1, /usr/bin/donut) and is the one member of the set
# whose generator runs natively on LINUX, so `sudo apt install donut` really does get
# you it. It stays unlisted as a judgement (the evasion doc names it; nothing in this
# layer invokes it) rather than because apt cannot supply it. The rest genuinely are
# absent: macro_pack, PowerUpSQL, sRDI, ConfuserEx and ScareCrow all return nothing.
# Their UPSTREAM statuses, which this block carried for none of them:
#   macro_pack   ARCHIVED — read-only, last push Aug 2024.
#   ScareCrow    ARCHIVED — read-only, last push Aug 2023.
#                Freeze.rs is the tool #275 floated as a successor. It is NOT one: the
#                canonical optiv/Freeze.rs is ARCHIVED (2023-08-18) and redirects to
#                Tylous/Freeze.rs (same author as ScareCrow, which is why the name comes up
#                at all) — the two-repo split is the mkaring/ConfuserEx and iphelix/pack
#                trap again. The live fork is THIN: 7 commits, no releases, not archived. So
#                a MENTION, not a successor, and no pointer of its own — no doc and no corpus
#                entry names it, the SigmaPotato/pretender treatment. Calling net-new evasion
#                capability is outside an inventory scout's remit anyway.
#   Donut        alive — commits into 2025.
#   sRDI         static — NOT archived, but untouched since Nov 2023.
#   PowerUpSQL   static — NOT archived, but no release has EVER been cut and the last
#                functional commits are Aug 2024 (a LICENSE bump followed in Dec 2024).
#                Quiet, not dead — the sRDI shape. It was named in the paragraph above
#                while five of the six got a status line here and it got none.
#                LOW IMPACT HERE, because the Linux-native half is already on the box:
#                impacket-mssqlclient (`enum_links` / `use_link`) and `nxc mssql` cover
#                linked-server hopping from Kali, and both are already listed above. This
#                is a Windows-side convenience, not a capability gap.
#                The maintained analogue is skahwah/SQLRecon (C#/.NET, v4.0 Apr 2026,
#                active) — named for the correction and given NO pointer of its own, the
#                same treatment `pretender` gets under mitm6: no doc and no corpus entry
#                invokes it, and this file lists what the docs and the corpus name.
#   ConfuserEx   ⚠ USE THE `mkaring` FORK (github.com/mkaring/ConfuserEx, alive into 2024).
#                The canonical `yck1509/ConfuserEx` is ARCHIVED and has not moved since
#                2019, so a bare "ConfuserEx" pointer lands a reader in a dead repo —
#                exactly the failure the kwp-vs-iphelix/pack note above exists to prevent.
# ARCHIVED does not mean unusable here: these build artifacts against Windows formats that
# have not changed, so they still produce working output. It means nobody is fixing them
# when a format, a .NET runtime or a signature finally does move — which for evasion
# tooling is the half that ages fastest. Budget for replacing them, not for repairing them.
# The exploitdev doc's WINDOWS DEBUGGER STACK is the same case and gets the same
# treatment: Immunity Debugger + mona.py, x64dbg and WinDbg (offensive/exploitdev:21-26)
# are invoked by name throughout that file, all run on the lab Windows VM, and none is in
# Kali apt. Only the LINUX half of that stack is packaged, and it is already accounted for
# — see the `gdb` line under "Fold-primary tools Kali does NOT ship by default" above, whose
# own comment puts pwndbg/GEF on the lab-setup side of the line. Named here so the
# doc→manifest accounting is complete; nothing to install on this side either way.
# The corpus' Impact entries (inhibit-recovery-vssadmin, service-stop-preransom,
# ransomware-encrypt-files, resource-hijack-xmrig) drive Windows BUILT-INS on the
# target — vssadmin, wbadmin, bcdedit, sc, taskkill. Nothing to install, and the
# one third-party binary they name (xmrig) is deliberately not shipped here.

# ── Pivoting / tunneling ──────────────────────────────────────────────────────
proxychains4         # `proxychains4` — the rofl0r/proxychains-ng fork, and apt is at its head
#                    # (4.17-3.1 = upstream's v4.17 tag). Upstream is alive but slow to RELEASE:
#                    # crash/UB fixes landed 2026-08-27 against a tag dated 2024-01-21.
#                    # ⚠ INSIST ON THE `4`. A real `proxychains` PACKAGE exists in Kali and Debian
#                    # sid at 3.1-9 — proxychains 3.1, the 2007 SourceForge original, whose Debian
#                    # tracker records "problems while searching for a new upstream version". It
#                    # escapes the usual `apt-file search '/usr/bin/proxychains$'` test because it
#                    # ships /usr/bin/proxychains3, a THIRD binary name. So `apt install proxychains`
#                    # SUCCEEDS and silently hands you a 2007 tool — a sharper reason to name
#                    # proxychains4 than "the bare name is only a virtual Provides:".
chisel               # TCP/UDP-over-HTTP tunnel. The one line in this block that had no status at
#                    # all, which is why it is now the one that most needed one.
#                    # ⚠ APT SHIPS A PRE-RELEASE. kali-rolling is 1.12.0~rc2-0kali1 (2026-07-23) and
#                    # kali-dev 1.12.0~rc3-0kali1; upstream cut v1.12.0 FINAL on 2026-08-29, two RCs
#                    # ahead of what you have. This is the opposite of the ffuf case above: there
#                    # apt is behind a live upstream, here apt is ahead of its own stable line.
#                    # ⚠ 1.12.0 BREAKS FLAGS, so know them before you reach for one from memory:
#                    # `--auth` now REQUIRES `<user>:<pass>` and FAILS STARTUP on a missing colon;
#                    # SOCKS5 users need an authfile entry matching `socks`; fingerprints must be
#                    # full SHA256 (truncated MD5 prefixes are rejected); a client exhausting
#                    # --max-retry-count now exits non-zero. Nothing SHIPPED here breaks — the
#                    # hacktheplanet lines and the corpus' reverse-tunnel-chisel entry both use the
#                    # bare `chisel server -p 8000 --reverse` / `chisel client … R:socks` form.
#                    # THE pspy SPLIT APPLIES: apt's chisel is a host-arch, dynamically-linked
#                    # Debian Go build for YOUR box; what you upload to a target is upstream's
#                    # static release binary. Mixing is safe — the wire protocol is unchanged and
#                    # 1.11.x <-> 1.12 deployments degrade gracefully. Not a redup candidate: no
#                    # self-updater, and apt owns it.
ligolo-ng            # modern reverse-tunnel pivot. The "(upstream if repo build lags)" hedge that
#                    # was here is gone: kali tracks this one closely (0.9.1-0kali1 landed within
#                    # ~2 weeks of upstream's v0.9.1), so the hedge invited an upstream build that
#                    # is almost never warranted — and hand-built pivots are exactly the thing you
#                    # do not want diverging from the implant you tested with.
socat
rlwrap               # readline wrapper for the reverse-shell listener (rlwrap nc -lvnp …); ships in kali-linux-default, list it for slim installs
# penelope is CONSIDERED AND NOT LISTED — the dnstt disposition, recorded so the decision
# isn't accidental. It is the only live NEWCOMER the #299 sweep turned up: a shell HANDLER
# (brightio/penelope, kali 0.21.0-1 imported 2026-08-25, upstream active) that collapses
# `rlwrap nc -lvnp 9001` plus the whole ttyup PTY-upgrade sequence into one tool. It is real
# and it works; it is held out on TWO grounds, and the second is the one that would survive
# the first being fixed:
#   1. The membership rule, as usual — no doc and no corpus entry names it. That is the
#      cheap objection and a doc edit would clear it.
#   2. ⚠ THE MANUAL UPGRADE IS TAUGHT ON PURPOSE. hacktheplanet's shell-stabilisation fold,
#      ippsec's method notes and offensive.zsh's `ttyup` all walk the python3-pty → stty raw
#      -echo → `export TERM` sequence BY HAND, because that is IppSec's method and because it
#      is what works on a box where you cannot install anything. A handler that hides the
#      sequence is a fine convenience and a bad TEACHER, and this layer's shell material is
#      pedagogical first. Adopting it is therefore a doc/method decision, not a packaging one.
# TRACK, don't adopt: if the docs ever stop teaching the manual upgrade, revisit this.

# ── Notes / reporting (keep findings OUT of this repo — see offensive.zsh) ─────
# Engagement data → $ENGAGEMENTS_DIR (~/engagements), gitignored as a backstop.
